seq,seqn,word,phonetic,exchange,trans,,,,
378,378/1533,awkward,英['ɒ:kwәd],,a.令人尴尬的;笨拙的;棘手的,,,,
379,379/1533,convenient,英[kәn'vi:njәnt],,a.方便的;便利的,,,,
380,380/1533,desperate,英['despәrәt],,a.绝望的;不顾一切的;孤注一掷的,,,,
381,381/1533,incredible,英[in'kredәbl],,a.难以置信的;不可思议的;极好的,,,,
382,382/1533,unusual,英[.ʌn'ju:ʒu:l],,a.不平常的;与众不同的,,,,
383,383/1533,financial,英[fai'nænʃәl],,a.财政的;金融的,,,,
384,384/1533,disabled,英[dis'eibld],,a.残疾的;有缺陷的,,,,
385,385/1533,cruel,英['kru:әl],,a.残忍的;无情的,,,,
386,386/1533,ashamed,英[ә'ʃeimd],,a.惭愧的;羞耻的,,,,
387,387/1533,thorough,英['θʌrә],,a.彻底的;缜密的,,,,
388,388/1533,mature,英[mә'tjuә],,a.成熟的;成年人的v.成熟,,,,
389,389/1533,ripe,英[raip],,a.成熟的;时机成熟的,,,,
390,390/1533,urban,英['ә:bәn],,a.城市的;城镇的,,,,
391,391/1533,abstract,英['æbstrækt],,a.抽象的n.抽象概念v.提取,,,,
392,392/1533,pure,英[pjuә],,a.纯洁的;完全的;单纯的,,,,
393,393/1533,secondary,英['sekәndәri],,a.次要的;中学的,,,,
394,394/1533,intelligent,英[in'telidʒәnt],,a.聪明的;明智的,,,,
395,395/1533,rude,英[ru:d],,a.粗鲁的;无礼的;愚昧的,,,,
396,396/1533,complicated,英['kɒmplikeitid],,a.复杂的;难懂的,,,,
397,397/1533,massive,英['mæsiv],,a.巨大的;结实的,,,,
398,398/1533,Atlantic,英[әt'læntik],,a.大西洋的n.大西洋,,,,
399,399/1533,moral,英['mɒrәl],,a.道德的n.道德,,,,
400,400/1533,typical,英['tipikl],,a.典型的;特有的;一贯的,,,,
401,401/1533,dynamic,英[dai'næmik],,a.动态的;动力的;有活力的n.动力,,,,
402,402/1533,independent,英[.indi'pendәnt],,a.独立的;有主见的,,,,
403,403/1533,multiple,英['mʌltipl],,a.多样的;多元的n.倍数,,,,
404,404/1533,diverse,英[dai'vә:s],,a.多样的;不同的;各异的,,,,
405,405/1533,bound,英[baund],,a.被束缚的;必定的n.范围,,,,
406,406/1533,energetic,英[.enә'dʒetik],,a.精力旺盛的;有活力的;积极的,,,,
407,407/1533,extra,英['ekstrә],,a.额外的ad.特别地:非常,,,,
408,408/1533,legal,英['li:gәl],,a.法律的;法定的;合法的,,,,
409,409/1533,abnormal,英[æb'nɒ:mәl],,a.反常的;不规则的;变态的,,,,
410,410/1533,extraordinary,英[ik'strɒ:dәnәri],,a.非凡的;特别的;离奇的,,,,
411,411/1533,illegal,英[i'li:gәl],,a.非法的n.非法移民,,,,
412,412/1533,widespread,英['waidspred],,a.大面积的;(分布)广泛的;广为流传的,,,,
413,413/1533,sharp,英[ʃɑ:p],,a.锋利的;刺耳的;ad.急剧地,,,,
414,414/1533,negative,英['negәtiv],,a.负面的;消极的n.阴性,,,,
415,415/1533,nearby,英['niәbai],,a.附近的ad.在附近prep.在.....附近,,,,
416,416/1533,complex,英[kәm'pleks],,a.复杂的;合成的n.楼群,,,,
417,417/1533,embarrassed,英[im'bærәst],,a.尴尬的;难堪的;不好意思的,,,,
418,418/1533,grateful,英['greitful],,a.感激的;感谢的,,,,
419,419/1533,rigid,英['ridʒid],,a.严格的;硬性的;僵化的,,,,
420,420/1533,noble,英['nәubl],,a.高尚的;贵族的n.贵族,,,,
421,421/1533,individual,英[.indi'vidʒuәl],,a.个体的;单独的n.个人,,,,
422,422/1533,various,英['vєәriәs],,a.各种各样的;不同的,,,,
423,423/1533,respective,英[ri'spektiv],,a.各自的;分别的,,,,
424,424/1533,civil,英['sivәl],,a.国民的;民间的;民用的,,,,
425,425/1533,antique,英[æn'ti:k],,a.古老的;古风的n.古董,,,,
426,426/1533,constant,英['kɒnstәnt],,a.不断的;恒定的n.常数,,,,
427,427/1533,solid,英['sɒlid],,a.固体的;结实的n.固体,,,,
428,428/1533,conventional,英[kәn'venʃәnl],,a.传统的;惯例的;常规的,,,,
429,429/1533,brilliant,英['briljәnt],,a.灿烂的;杰出的;精彩的,,,,
430,430/1533,frightened,英['frait(ә)nd],,a.害怕的;受惊的,,,,
431,431/1533,curious,英['kjuәriәs],,a.好奇的;求知的;奇异的,,,,
432,432/1533,suitable,英['sju:tәbl],,a.合适的;适宜的,,,,
433,433/1533,gentle,英['dʒentl],,a.温和的;有礼貌的;轻柔的,,,,
434,434/1533,harmonious,英[hɑ:'mәuniәs],,a.和谐的;协调的,,,,
435,435/1533,nuclear,英['nju:kliә],,a.原子能的;核能的;核武器的,,,,
436,436/1533,likely,英['laikli],,a.可能的;适合的,,,,
437,437/1533,confused,英[kәn'fju:zd],,a.困惑的;糊涂的;迷茫的,,,,
438,438/1533,chemical,英['kemikl],,a.化学的n.化学制品;n.化学药品,,,,
439,439/1533,merry,英['meri],,a.欢乐的;愉快的,,,,
440,440/1533,living,英['liviŋ],,a.活的;现存的n.生活,,,,
441,441/1533,fundamental,英[.fʌndә'mentәl],,a.基础的n.基本原则;基本原理,,,,
442,442/1533,super,英['sju:pә(r)],,a.超级的;极好的,,,,
443,443/1533,superb,英[sju'pә:b],,a.极好的;俱佳的;壮丽的,,,,
444,444/1533,urgent,英['ә:dʒәnt],,a.急迫的;紧要的,,,,
445,445/1533,memorial,英[mi'mɒ:riәl],,a.纪念的n.纪念碑;纪念馆,,,,
446,446/1533,domestic,英[dәu'mestik],,a.国内的;家庭的;家用的,,,,
447,447/1533,FALSE,英[fɒ:ls],,a.错误的;假的;虚伪的,,,,
448,448/1533,firm,英[fә:m],,a.&ad.坚固的(地);坚决的(地)n.公司,,,,
449,449/1533,tough,英[tʌf],,a.棘手的;艰苦的;粗野的,,,,
450,450/1533,brief,英[bri:f],,a.简短的v.概要;简报,,,,
451,451/1533,anxious,英['æŋʃәs],,a.焦虑的;渴望的;急切的,,,,
452,452/1533,lower,英['lәuә],,a.较低的;下游的v.降低,,,,
453,453/1533,elderly,英['eldәli],,a.年长的;上年纪的,,,,
454,454/1533,minor,英['mainә],,a.较小的;次要的n.辅修科目,,,,
455,455/1533,tight,英[tait],,a.紧的;密封的ad.紧紧地,,,,
456,456/1533,economic,英[.i:kә'nɒmik],,a.经济的;经济学的
457,457/1533,mental,英['mentl],,a.精神的;思想的;心智的,,,,
458,458/1533,vast,英[vɑ:st],,a.巨大的;广阔的;,,,,
459,459/1533,enormous,英[i'nɒ:mәs],,a.巨大的;庞大的;巨额的,,,,
460,460/1533,concrete,英['kɒnkri:t],,a.具体的n.混凝土,,,,
461,461/1533,military,英['militәri],,a.军事的;军用的;军队的,,,,
462,462/1533,visible,英['vizәbl],,a.看得见的;明显的,,,,
463,463/1533,visual,英['viʒuәl],,a.看得见的;可视的;视觉的,,,,
464,464/1533,scientific,英[.saiәn'tifik],,a.科学的;科学化的;系统的,,,,
465,465/1533,adorable,英[ә'dɒ:rәbl],,a.可爱的;可崇拜的;迷人的,,,,
466,466/1533,reliable,英[ri'laiәbl],,a.可靠的;可信赖的,,,,
467,467/1533,available,英[ә'veilәbl],,a.可用的;可得到的;有空的,,,,
468,468/1533,eager,英['i:gә],,a.渴望的;热切的,,,,
469,469/1533,positive,英['pɒzitiv],,a.阳性的;积极的;正面的;,,,,
470,470/1533,blank,英[blæŋk],,a.空白的n.空白,,,,
471,471/1533,generous,英['dʒenәrәs],,a.慷慨的;大方的;丰盛的,,,,
472,472/1533,broad,英[brɒ:d],,a.宽阔的;广泛的,,,,
473,473/1533,loose,英[lu:s],,a.宽松的ad.散漫地V.释放,,,,
474,474/1533,romantic,英[rәu'mæntik],,a.浪漫的;传奇式的,,,,
475,475/1533,optimistic,英[.ɒpti'mistik],,a.乐观(主义)的;看好的,,,,
476,476/1533,comprehension,英[.kɒmpri'henʃәn],,n.理解(力);领悟(力),,,,
477,477/1533,ideal,英[ai'diәl],,a.理想的;完美的n.理想,,,,
478,478/1533,instant,英['instәnt],,a.立即的;即食的;速溶的n.瞬间,,,,
479,479/1533,exceptional,英[ik'sepʃәnәl],,a.例外的;异常的;超常的,,,,
480,480/1533,polar,英['pәulә],,a.两极的;极地的,,,,
481,481/1533,amazing,英[ә'meiziŋ],,a.令人惊异的,,,,
482,482/1533,horrible,英['hɒrәbl],,a.可怕的;极讨厌的;恐怖的,,,,
483,483/1533,pleasant,英['pleznt],,a.令人愉快的;友好的,,,,
484,484/1533,fluent,英['flu:әnt],,a.流利的;流畅的,,,,
485,485/1533,logical,英['lɒdʒikәl],,a.逻辑的;符合逻辑的,,,,
486,486/1533,contradictory,英[.kɒntrә'diktәri],,a.矛盾的;对立的,,,,
487,487/1533,annual,英['ænjuәl],,a.每年的;年度的n.年刊,,,,
488,488/1533,weekly,英['wi:kli],,a.每星期的ad.每周一次n.周刊,,,,
489,489/1533,monthly,英['mʌnθli],,a.每月的ad.每月一次n.月刊,,,,
490,490/1533,slim,英[slim],,a.苗条的;微小的v.减肥,,,,
491,491/1533,sensitive,英['sensitiv],,a.敏感的;灵敏的,,,,
492,492/1533,plain,英[plein],,a.简单的;朴素的n.平原,,,,
493,493/1533,specific,英[spə'sɪfɪk],,a.明确的;具体的:特定的,,,,
494,494/1533,internal,英[in'tә:nәl],,a.内部的;国内的,,,,
495,495/1533,inner,英['inә],,a.里面的;内部的:内心的,,,,
496,496/1533,comprehensive,英[kɒmpri'hensiv],,a.综合的;全面的;广泛的,,,,
497,497/1533,senior,英['si:njә],,a.年长的;地位较高的n.毕业班学生,,,,
498,498/1533,critical,英['kritikәl],,a.批评的;临界的;关键的,,,,
499,499/1533,flat,英[flæt],,a.平坦的ad.平直地n.BrE公寓,,,,
500,500/1533,ordinary,英['ɒ:dinәri],,a.普通的;平凡的;平庸的,,,,
501,501/1533,odd,英[ɒd],,a.奇数的;奇怪的,,,,
502,502/1533,organic,英[ɒ:'gænik],,a.有机的;器官的;有组织的,,,,
503,503/1533,humble,英['hʌmbl],,a.谦卑的;低下的;简陋的,,,,
504,504/1533,consistent,英[kәn'sistәnt],,a.一致的;稳定的;持续的,,,,
505,505/1533,potential,英[pә'tenʃәl],,a.潜在的;可能的n.潜能,,,,
506,506/1533,shallow,英['ʃælәu],,a.浅的;肤浅的,,,,
507,507/1533,intense,英[in'tens],,a.强烈的;激烈的;紧锣密鼓的
508,508/1533,innocent,英['inәsәnt],,a.无辜的;清白的;天真无邪的,,,,
509,509/1533,distinct,英[dis'tiŋkt],,a.清楚的;明显的;不同的,,,,
510,510/1533,fine,英[fain],,a.很好的;可以接受的;晴朗的v.&n.罚款,,,,
511,511/1533,global,英['glәubl],,a.全球的;全世界的;全局的,,,,
512,512/1533,overall,英['әuvәrɒ:l],,a.全部的ad.全部地;总体上n.背带裤,,,,
513,513/1533,awesome,英['ɒ:sәm],,a.了不起的;令人敬畏的;极好的,,,,
514,514/1533,enthusiastic,英[in.θju:zi'æstik],,a.热情的;热心的:狂热的,,,,
515,515/1533,artificial,英[.ɑ:ti'fiʃәl],,a.人工的;人造的;矫揉造作的,,,,
516,516/1533,flexible,英['fleksәbl],,a.柔韧的;易弯曲的;灵活的,,,,
517,517/1533,commercial,英[kә'mә:ʃәl],,a.商业的;商务的n.商业广告,,,,
518,518/1533,upper,英['ʌpә],,a.上面的;上部的;较高的,,,,
519,519/1533,socialist,英['sәuʃәlist],,a.社会主义的n.社会主义者,,,,
520,520/1533,corporate,英['kɒ:pәrit],,a.公司的;团体的;法人的,,,,
521,521/1533,vital,英['vaitl],,a.至关重要的;生死攸关的;有活力的,,,,
522,522/1533,grand,英[grænd],,a.宏伟的;盛大的,,,,
523,523/1533,disappointed,英[.disә'pɒintid],,a.失望的;沮丧的,,,,
524,524/1533,practical,英['præktikl],,a.实际的;实用的,,,,
525,525/1533,virtual,英['vә:tʃuәl],,a.实际上的;事实上的;虚拟的,,,,
526,526/1533,substantial,英[sәb'stænʃәl],,a.大量的;实质的;可观的,,,,
527,527/1533,appropriate,英[ә'prәupriәt],,a.适当的;恰当的;合适的,,,,
528,528/1533,familiar,英[fә'miljә],,a.热悉的;通晓的,,,,
529,529/1533,digital,英['didʒitәl],,a.数字的;数码的,,,,
530,530/1533,twin,英[twin],,a.双胞胎的n.(复)双胞胎,,,,
531,531/1533,sour,英['sauә],,a.酸的;发酸的;酸痛的,,,,
532,532/1533,subsequent,英['sʌbsikwәnt],,a.随后的;后来的;并发的,,,,
533,533/1533,random,英['rændәm],,a.随机的;任意的n.随机,,,,
534,534/1533,solar,英['sәulә],,a.太阳的;日光的,,,,
535,535/1533,greedy,英['gri:di],,a.贪婪的;贪心的,,,,
536,536/1533,frank,英[fræŋk],,a.坦白的;直率的,,,,
537,537/1533,favourite,英['feivәrit],,a.最喜爱的n.特别喜爱的人(或物),,,,
538,538/1533,particular,英[pә'tikjulә],,a.特定的;特指的n.详情;细节,,,,
539,539/1533,characteristic,英[.kærәktә'ristik],,a.典型的;特有的n.特征;特性,,,,
540,540/1533,decent,英['di:sәnt],,a.像样的;正派的;得体的,,,,
541,541/1533,identical,英[ai'dentikәl],,a.完全相同的;同一的;一致的,,,,
542,542/1533,statistic,英[stә'tistik],,a.统计(学)的n.统计数值;统计学(statistics),,,,
543,543/1533,dizzy,英['dizi],,a.头晕目眩的;心不在焉的,,,,
544,544/1533,outstanding,英[.aut'stændiŋ],,a.杰出的;突出的,,,,
545,545/1533,external,英[ik'stә:nl],,a.外部的;外面的,,,,
546,546/1533,overseas,英['әuvә'si:z],,a.外国的;海外的ad.在海外,,,,
547,547/1533,royal,英['rɒiәl],,a.王室的;高贵的,,,,
548,548/1533,unique,英[ju:'ni:k],,a.唯一的;独一无二的,,,,
549,549/1533,raw,英[rɒ:],,a.生的;未加工过的,,,,
550,550/1533,bitter,英['bitә],,a.味苦的;痛苦的;令人不快的,,,,
551,551/1533,mild,英[maild],,a.温和的:轻微的;味淡的,,,,
552,552/1533,literary,英['litәrәri],,a.文学的;精通文学的;书面的,,,,
553,553/1533,rare,英[rєә],,a.稀有的;稀罕的,,,,
554,554/1533,fond,英[fɒnd],,a.喜爱的;宠爱的,,,,
555,555/1533,comic,英['kɒmik],,a.喜剧的;滑稽的n.连环漫画,,,,
556,556/1533,dramatic,英[drә'mætik],,a.戏剧的;引人瞩目的;剧烈的,,,,
557,557/1533,strait,英[streit],,a.狭窄的n.海峡;困境,,,,
558,558/1533,fancy,英['fænsi],,a.想象的:花俏的n.&v.幻想
559,559/1533,narrow,英['nærәu],,a.狭窄的;狭隘的,,,,
560,560/1533,previous,英['pri:viәs],,a.以前的;早先的;ad.在...以前,,,,
561,561/1533,delicate,英['delikәt],,a.精美的;微妙的;娇弱的,,,,
562,562/1533,vivid,英['vivid],,a.生动的;逼真的;鲜艳的,,,,
563,563/1533,salty,英['sɒ:lti],,a.含盐的;咸味的,,,,
564,564/1533,contemporary,英[kәn'tempәrәri],,a.当代的;同时代的,,,,
565,565/1533,realistic,英[riә'listik],,a.现实的;实事求是的;逼真的,,,,
566,566/1533,rural,英['ruәrәl],,a.乡下的;农村的;田园的,,,,
567,567/1533,contrary,英['kɒntrәri],,a.相反的;对立的n.相反;反面,,,,
568,568/1533,backward,英['bækwәd],,a.向后的;后退的;落后的ad.向后,,,,
569,569/1533,academic,英[.ækә'demik],,a.学院的;学术的,,,,
570,570/1533,severe,英[si'viә],,a.严重的;严厉的;激烈的,,,,
571,571/1533,distant,英['distәnt],,a.远的;久远的;疏远的,,,,
572,572/1533,remote,英[ri'mәut],,a.遥远的;偏僻的n.遥控,,,,
573,573/1533,former,英['fɒ:mә],,a.以前的;前者的n.前者,,,,
574,574/1533,responsible,英[ri'spɒnsәbl],,a.负责的;有责任的;可靠的,,,,
575,575/1533,permanent,英['pә:mәnәnt],,a.永久的;持久的,,,,
576,576/1533,superior,英[sju:'piәriә],,a.上级的;优秀的n.上级;长者,,,,
577,577/1533,prior,英['praiә],,a.优先的ad.在前地,,,,
578,578/1533,elegant,英['eligәnt],,a.优雅的;端庄的,,,,
579,579/1533,ambitious,英[æm'biʃәs],,a.有抱负的;有野心的,,,,
580,580/1533,capable,英['keipәbl],,a.有能力的;胜任的,,,,
581,581/1533,creative,英[kri:'eitiv],,a.创造性的;创新的,,,,
582,582/1533,relevant,英['relivәnt],,a.相关的;切题的,,,,
583,583/1533,regular,英['regjulә],,a.&ad.定期的(地);有规律的(地),,,,
584,584/1533,historic,英[hi'stɒrik],,a.历史性的;有历史意义的,,,,
585,585/1533,gifted,英['giftid],,a.有天赋的;有才华的,,,,
586,586/1533,foggy,英['fɒgi],,a.有雾的;模糊的,,,,
587,587/1533,limited,英['limitid],,a.有限的;被限制的,,,,
588,588/1533,efficient,英[i'fiʃәnt],,a.有效率的;有能力的,,,,
589,589/1533,significant,英[sig'nifikәnt],,a.有意义的;重大的;重要的,,,,
590,590/1533,influential,英[.infu'enʃәl],,a.有影响的;有势力的,,,,
591,591/1533,guilty,英['gilti],,a.有罪的;内疚的,,,,
592,592/1533,primitive,英['primitiv],,a.原始的;远古的,,,,
593,593/1533,lunar,英['lu:nә],,a.月球的;农历的,,,,
594,594/1533,temporary,英['tempәrәri],,a.暂时的;临时的,,,,
595,595/1533,precious,英['preʃәs],,a.珍贵的;宝贵的,,,,
596,596/1533,genuine,英['dʒenjuin],,a.真实的;真正的:真诚的,,,,
597,597/1533,neat,英[ni:t],,a.整洁的;整齐的;灵巧的,,,,
598,598/1533,normal,英['nɒ:ml],,a.正常的;一般的n.常态,,,,
599,599/1533,accurate,英['ækjurәt],,a.准确的;精准的,,,,
600,600/1533,formal,英['fɒ:mәl],,a.官方的;正式的;正规的,,,,
601,601/1533,straightforward,英[streit'fɒ:wәd],,a.简单的;坦率的ad.直截了当地,,,,
602,602/1533,political,英[pә'litikl],,a.政治的;政党的,,,,
603,603/1533,aware,英[ә'wєә],,a.意识到的;知道的,,,,
604,604/1533,worthy,英['wə:ði],,a.值得的;有价值的,,,,
605,605/1533,remarkable,英[ri'mɑ:kәbl],,a.卓越的;非凡的;举世瞩目的,,,,
606,606/1533,worthwhile,英['wә:θ'hwail],,a.值得做的;合算的,,,,
607,607/1533,professional,英[prә'feʃәnl],,a.职业的;专门的n.专家,,,,
608,608/1533,botanical,英[bә'tænikәl],,a.植物学的;植物的,,,,
609,609/1533,crucial,英['kru:ʃәl],,a.至关重要的;决定性的
610,610/1533,racial,英['reiʃәl],,a.人种的;种族的,,,,
611,611/1533,subjective,英[sәb'dʒektiv],,a.主观的;主语的,,,,
612,612/1533,objective,英[әb'dʒektiv],,a.客观的n.目的;目标,,,,
613,613/1533,major,英['meidʒә],,a.重大的;主要的n.专业;主修科目,,,,
614,614/1533,chief,英[tʃi:f],,a.首要的;首席的n.首领,,,,
615,615/1533,patent,英['pætnt. 'peitnt],,a.专利的n.专利v.获得专利,,,,
616,616/1533,splendid,英['spendid],,a.壮丽的;辉煌的;极好的,,,,
617,617/1533,automatic,英[.ɒ:tә'mætik],,a.自动的;机械的;无意识的,,,,
618,618/1533,autonomous,英[ɒ:'tɒnәmәs],,a.自治的,,,,
619,619/1533,sufficient,英[sә'fiʃәnt],,a.足够的;充分的,,,,
620,620/1533,initial,英[i'niʃәl],,a.最初的;初始的n.首字母,,,,
621,621/1533,original,英[ә'ridʒәnl],,a.原始的;最初的n.原件,,,,
622,622/1533,folk,英[fәuk],,a.民间的;民族的n.人们,,,,
623,623/1533,outgoing,英['autgәuiŋ],,a.外向的;向外的,,,,
624,624/1533,male,英['mæli],,a.男性的;雄性的n.男人,,,,
625,625/1533,female,英['fi:meil],,a.女性的;雌性的n.女人,,,,
626,626/1533,communist,英['kɒmjunist],,a.共产主义的;n.共产党员,,,,
627,627/1533,surrounding,英[sә'raundiŋ],,a.周围的;附近的,,,,
628,628/1533,average,英['ævәridʒ],,a.平均的;普通的n.平均数,,,,
629,629/1533,current,英['kʌrәnt],,a.当前的;流通的n.(河、电)流,,,,
630,630/1533,detective,英[di'tektiv],,a.侦探的n.侦探,,,,
631,631/1533,apparently,英[ә'pærәntli],,ad.表面上;显然地,,,,
632,632/1533,further,英['fә:ðә],,ad.&a.更远的(地)v.促进;增进,,,,
633,633/1533,aboard,英[ә'bɒ:d],,ad.&prep.在(火车、飞机、轮船)上,,,,
634,634/1533,anyhow,英['enihau],,ad.总之;无论如何;不论怎样,,,,
635,635/1533,sometimes,英['sʌmtaimz],,ad.有时;时而,,,,
636,636/1533,barely,英['bєәli],,ad.仅仅;几乎没有,,,,
637,637/1533,hence,英[hens],,ad.因此;所以;从此,,,,
638,638/1533,apart,英[ә'pɑ:t],,ad.相隔;分散地a.分离的,,,,
639,639/1533,extremely,英[ik'stri:mli],,ad.极其;非常,,,,
640,640/1533,mostly,英['mәustli],,ad.几乎•全部地;主要地;大部分,,,,
641,641/1533,merely,英['miәli],,ad.仅仅;只不过,,,,
642,642/1533,precisely,英[pri'saisli],,ad.精确地;正好;恰恰,,,,
643,643/1533,absolutely,英['æbsәlu:tli],,ad.绝对地;完全地;肯定地,,,,
644,644/1533,immediately,英[i'mi:diәtli],,ad.立即;直接地conj.一...就,,,,
645,645/1533,otherwise,英['ʌðәwaiz],,ad.否则;要不然;除此以外,,,,
646,646/1533,obviously,英['ɔbviәsli],,ad.明显地;显然地,,,,
647,647/1533,frequently,英['fri:kwәntli],,ad.频繁地;时常,,,,
648,648/1533,indeed,英[in'di:d],,ad.确实;真正地,,,,
649,649/1533,nowhere,英['nәuhwєә],,ad.任何地方都不;没有地方,,,,
650,650/1533,thus,英[ðʌs],,ad.如此;因此;从而,,,,
651,651/1533,slightly,英['slaitli],,ad.稍微;略微,,,,
652,652/1533,actually,英['æktʃuәli],,ad.实际上;事实上,,,,
653,653/1533,altogether,英[.ɒ:ltә'geðә],,ad.全部地;总共;总而言之,,,,
654,654/1533,entirely,英[in'taiәli],,ad.完整地;彻底地,,,,
655,655/1533,nowadays,英['nauәdeiz],,ad如今;现在,,,,
656,656/1533,rather,英['ræðә],,ad.相当;宁愿;不如说,,,,
657,657/1533,forward,英['fɒ:wәd],,ad.向前a.向前的v.转发,,,,
658,658/1533,fortunately,英['fɒitʃәnitli],,ad.幸运地;幸亏,,,,
659,659/1533,definitely,英['definitli],,ad.肯定地;明确地
660,660/1533,afterward,英['ɑ:ftәwәd],,ad.以后;后来,,,,
661,661/1533,afterwards,英['ɑ:ftәwәdz],,ad.以后;后来,,,,
662,662/1533,somehow,英['sʌmhau],,ad.用某种方法;不知怎么地,,,,
663,663/1533,therefore,英['ðєәfɒ:],,ad.因此;所以,,,,
664,664/1533,forever,英[fә'revә],,ad.永远;总是,,,,
665,665/1533,due to,英[djuː tu],,ad.由于;应归于,,,,
666,666/1533,elsewhere,英['elshwєә],,ad.在别处;到别处,,,,
667,667/1533,downtown,英['daun'taun],,ad.在市区ad.市中心的,,,,
668,668/1533,downstairs,英['daun'stєәz],,ad.在楼下;往楼下a.楼下的,,,,
669,669/1533,aside,英[ә'said],,ad.在旁边;沿着边prep.在..旁边,,,,
670,670/1533,alongside,英[ә'lɒŋ'said],,ad.在旁边;沿着边prep.与..并肩,,,,
671,671/1533,ahead,英[ә'hed],,ad.在前面;向前;提前a.前面的,,,,
672,672/1533,literally,英['litәrәli],,ad.毫不夸张地;逐字地;照字面意义,,,,
673,673/1533,sincerely,英[sin'siәli],,ad.真诚的;真挚的,,,,
674,674/1533,eventually,英[i'ventʃuәli],,ad.终于;最后,,,,
675,675/1533,gradually,英['grædʒuәli],,ad.逐渐地;渐渐地,,,,
676,676/1533,ultimately,英['ʌltimәtli],,ad.最终;最后,,,,
677,677/1533,moreover,英[mɒ:'әuvә],,ad.而且;另外;此外,,,,
678,678/1533,nevertheless,英[.nevәðә'les],,ad.&conj.然而;不过,,,,
679,679/1533,throughout,英[θru:'aut],,prep.遍及;贯穿ad.到处,,,,
680,680/1533,despite,英[di'spait],,prep.尽管;不管,,,,
681,681/1533,plus,英[plʌs],,prep.力口上a.正的;附加的n.加号,,,,
682,682/1533,per,英[po(r)]美[p»],,prep.每;每(一个),notfixed,,,
683,683/1533,beyond,英[bi'jɒnd],,prep.远于;超出ad.在更远处,,,,
684,684/1533,within,英[wi'ðin],,prep.在....之内ad.在内部,,,,
685,685/1533,onto,英['ɔntәj],,prep.到..之上;移向(某处),,,,
686,686/1533,beneath,英[bi'ni:θ],,prep.在...下边ad.在下方,,,,
687,687/1533,somewhat,英['sʌmhwɒt],,pron.&ad.有点;稍微;颇有几分,,,,
688,688/1533,yourself,英[juә'self],,pron.[反身代词]你自己;你亲自,,,,
689,689/1533,goodbye,英[gud'bai],,(bye)int.再见n.说再见,,,,
690,690/1533,Mrs,英['mɪsɪz],,abbr.(已婚)太太;夫人,,,,
691,691/1533,PE,英[pei],(physical education),abbr.体育课;体能训练,,,,
692,692/1533,Ms,英[miz],,abbr.(不明婚否)女士,,,,
693,693/1533,Mr,英['mistә(r)],,abbr.先生,,,,
694,694/1533,BC,英[ˌbiː ˈsiː],,(Before Christ)公元前,,,,
695,695/1533,a.m.,英[ˌeɪ ˈem],,上午;午前,,,,
696,696/1533,p.m.,英[ˌpi: ˈem],,下午;午后,,,,
697,697/1533,tip,英[tip],,n.尖端;小费;小窍门,,,,
698,698/1533,lecture,英['lektʃә],,n.&v.演讲;讲课,,,,
699,699/1533,bounce,英[bauns],,n.弹力v.弹跳,,,,
700,700/1533,cancer,英['kænsә],,n.癌症,,,,
701,701/1533,arrangement,英[ә'reindʒmәnt],,n.安排;布置;整理,,,,
702,702/1533,security,英[si'kjuriti],,n.安全;证券;保安,,,,
703,703/1533,setting,英['setiŋ],,n.设置;环境;背景,,,,
704,704/1533,ballet,英['bælei],,n.芭蕾舞;芭蕾舞剧,,,,
705,705/1533,percentage,英[pә'sentidʒ],,n.百分率;百分比,,,,
706,706/1533,percent,英[pә'sent],,n.百分数;百分之,,,,
707,707/1533,spot,英[spɒt],,n.斑点;小疙瘩v.发现,,,,
708,708/1533,version,英['vә:ʒәn],,n.版本;译本;说法,,,,
709,709/1533,conflict,英['kɒnflikt],,n.&v.冲突;争论;斗争
710,710/1533,format,英[ˈfɔːmæt],,n.版式;格式v.格式化,,,,
711,711/1533,parcel,英['pɑ:sl],,n.包裹v.打包,,,,
712,712/1533,package,英['pækidʒ],,n.包装;包裹v.打包,,,,
713,713/1533,slice,英[slais],,n.薄片;切片v.切(薄)片,,,,
714,714/1533,mist,英[mɪst],,n.薄雾;迷雾,,,,
715,715/1533,conservation,英[.kɒnsә'veiʃәn],,n.保存;保护;守恒,,,,
716,716/1533,bowling,英['bәuliŋ],,n.保龄球,,,,
717,717/1533,insurance,英[in'ʃurәns],,n.保险;保险费,,,,
718,718/1533,exposure,英[ik'spәuʒә],,n.暴露;报道;曝光,,,,
719,719/1533,sorrow,英['sɒrәu],,n.悲哀;悲痛v.懊恼,,,,
720,720/1533,context,英['kɒntekst],,n.语境;上下文,,,,
721,721/1533,sheet,英[ʃi:t],,n.被单;薄片;工作表,,,,
722,722/1533,comparison,英[kәm'pærisn],,n.比较;对比,,,,
723,723/1533,handwriting,英['hændraitiŋ],,n.笔迹;书法,,,,
724,724/1533,edge,英[edʒ],,n.边缘;刀刃v.慢慢移动,,,,
725,725/1533,editor,英['editә],,n.编辑;编者,,,,
726,726/1533,variation,英[.vєәri'eiʃәn],,n.变化;变异;变奏曲,,,,
727,727/1533,discrimination,英[dis.krimi'neiʃәn],,n.歧视;区别;辨别力,,,,
728,728/1533,label,英['leibl],,n.标签v.用标签标明;贴标签,,,,
729,729/1533,criterion,英[krai'tiәriәn],(pl.criteria),n.标准;准则,,,,
730,730/1533,ice-cream,英['aɪskri:m],,n.冰淇淋,,,,
