word,explanation
帘,帘〈名〉旧时酒家、茶馆作店招的旗帜，用布做成 白鸟窥鱼网，青帘认酒家。--唐·郑谷《旅寓洛南村舍》帘 (形声。从竹，廉声。本义门帘)帘子，遮蔽门窗的用具 簾，堂簾也。--《说文》簾，户蔽也。--《声类》。严持箧书，置饰室簾南。--《汉书》草色入簾青。--唐·刘禹錫《陋室銘》入其舍，则密室垂簾。--《聊斋志异·促織》又如簾帷(遮蔽閠窗的簾子、布幕);簾籠(窗簾和窗牖);簾旌(簾端所緔之布帛);簾政(皇太後垂簾聽政，故名);簾庑(指堂前廊檐垂簾之處)同奁帘（⒈簾）lián⒈用布、塑料、竹片、或苇子等做成遮蔽门窗的东西门～。窗～。⒉旧时商店门口做标志的旗帜茶～。酒～。
宛,宛 (形声。从宀，夗声。象屋里的草弯曲自相覆盖。本义弯曲)同本义 宛，屈草自覆也。--《说文》宛宛黄龙。--《史记·司马相如传》是以欲谈者宛舌而固声。--《汉书·扬雄传下》又如宛妙(事物屈曲美妙);宛虹(弯曲的虹);宛曲(辗转;曲折);宛委(弯曲;曲折);宛宛(盘旋屈曲的样子;山川道路蜿蜒曲折);宛燀(回旋盘曲)晃荡;摇动 晴野霞飞绮，春郊柳宛丝。--白居易诗释散 纷乎宛乎。--《庄子》。成玄英疏纷纶宛转，并释散之貌也。宛 委婉;婉转 一面收拾礼物，宛wǎn⒈曲折～转（①辗转。②同'婉转'）。⒉仿佛，好像，很像～如。音容～在。～然如画。宛yuān 1.古时楚国地名。秦昭襄王置县。治所在今河南南阳。战国时为楚著名铁产地。秦以后每为南阳郡治所。 2.用同'寃'。参见'宛恼'。 3.见'宛雏'。宛yùn 1.积聚。参见'宛财'﹑'宛暍'﹑'宛藏'。宛yuè 1.黄黑色。参见'宛黄'。
实,实 (会意。从宀，从贯。宀，房屋。贯，货物，以货物充于屋下。本义财物粮食充足，富有)同本义實，富也。--《说文》实，满也，塞也。--《小尔雅》实，荣也。--《墨子经上》有者为实，故凡中质充满皆曰实。--《素问·调经论》而君之仓廪实，府库充。--《孟子·梁惠王下》管子曰仓廪实而知礼节。--汉·贾谊《论积贮疏》公家虚而大臣实。--《韩非子·亡征》又如殷实;实核(种子);实谷(子粒饱满的谷类作物)真实;诚实 实，诚也。--《广雅》夫图画，实（實、寔）shí⒈满，充满～心铅球。～足岁数。仓库充～。⒉种子，果子果～。⒊真，诚恳，不狡猾真～。诚～。老～。说～话。⒋客观存在的～事。～际。～力。～况。事～。⒌的确确～。⒍用于加强语气～难从命。⒎施，执行，推行～施。～行。'⒏⒐⒑①真，的确～在对。②不虚假，不马虎他干活很～在。③其实，实际他说懂了，～在是哄骗人。⒒①客观的真实情况。也指实践联系～际。②具体的～际效果。⒓①人们改造自然和改造社会的活动。②实行及履行自己的主张或诺言。⒔⒕①为了检验某种科学理论或假设而进行的观察和研究活动。②指实验的工作。⒖实zhì 1.到达。
试,试 (形声。从言，式声。本义用;任用)同本义 试，用也。--《说文》明试以功。--《虞书》今予将试以汝迁。--《书·盘庚》师干之试。--《诗·小雅·采芑》兵革不试。--《礼记·乐记》吾不试。--《论语》私人之子，百僚是试。--《诗·小雅·大东》兵革不试，五刑不用。--《礼记·乐记》又如试兵(用兵)尝试 试，尝也。--《广雅》不可试也。--《易·无妄》臣请试之。--《战国策·秦策》我虽不敏，请尝试之。--《孟子·梁惠王上》日高人渴漫思茶，敲门试问野人家。--宋试shì⒈按预定想法非正式的做～做。～车。～ ～看。⒉检验，品尝～验。尝～。⒊考，测验考～。口～。笔～。
郎,郎〈名〉(形声。从邑，良声。从邑，表示与行政区域有关。本义古邑名。在今山东金乡县境)古地名。春秋鲁邑 郎，鲁邑也。--《说文》。按，鲁有二郎。在今山东省鱼台县东北，是费伯的食邑费伯帅师城郎。--《左传·隐公元年》在今山东省曲阜县附近夏，城郎。--《左传·隐公九年》郎，古廊字。原指宫殿廷廊，置侍卫人员所在。官名 郎官，谓三中郎将下之属官也。--《后汉书·桓帝纪》注战国始置。帝王侍从官侍郎、中郎、郎中等的通称。其职责原为护卫陪从、随时建议，备顾问郎láng⒈称呼青少年男子英俊～。少年～。⒉妇女称丈夫或情人。⒊旧时称别人的儿子令～。⒋指从事某种职业的人货～。⒌〈古〉官名侍～。员外～。～中（又指医生）。
诗,诗 (形声。从言，寺声。本义诗歌)同本义 诗言志，歌永言。--《书·舜典》诗，志也。--《说文》诗所以合意，歌所以咏诗也。--《国语·鲁语》教六师，曰风，曰赋，曰比，曰典，曰雅，曰颂。--《周礼·大师》。毛诗序，在心为志，发言为诗。临清流而赋诗。--晋·陶渊明《归去来兮辞》又如诗筒(装诗稿的竹筒);诗瓢(放诗稿的瓢勺);诗友(以诗词唱和的朋友);诗虎(作成诗句的灯谜);诗流(诗的流别系统);诗案(因诗获罪的案件);诗眼(诗句中最为工巧传神的一个字);诗债(指向他人乞诗或索和未及酬答);诗传(诗集);诗狱诗shī⒈文体名。形式很多，它是可以歌咏或朗诵的韵文。⒉
肩,肩 (象形。从户，从肉。本义肩膀)同本义 肩，髆也。从肉，象形。--《说文》北方有比肩之民焉。迭食而迭望。--《尔雅》肩臂臑。--《仪礼·少牢礼》肩之所倚。--《庄子·养生主》并肩手相接。--《徐霞客游记·游黄山记》又如肩巴(肩膀);肩甲(即肩胛);肩磨(肩膀耸动，浑身发抖);肩排(并肩排列;并排)动物的腿根部 项王曰赐之彘肩。则与一生彘肩。樊哙覆其盾于地，加彘肩上，拔剑切而啗之。--《史记·项羽本纪》担子 肩 瞪 肩jiān⒈肩膀，颈项旁边胳膊上边的部分比（并）～而行。⒉担负敢～重任。肩xián 1.瘦小貌。
房,房〈名〉(形声。从户，方声。上古边室皆用单扇门(即户)，庙门大门才用双扇门，故房从户。本义正室左右的住室)古代堂中间叫正室，两旁的叫房 房，室在傍者也。--《说文》房，室旁夹室也。--《六书故》。段曰凡堂之内，中为正室，左右为房，所谓东房、西房也。桂馥曰古者宫室之制，前堂后室。前堂之两头有夹室，后室之两旁有东西房。记宰夫宴出自东房。--《仪礼·乡食礼》在东房。--《书·顾命》鄐子登，妇人笑于房。--《左传·宣公十七年》又如厢房(正房前面两旁的房屋);房植(房室四角的柱);房房 fáng⒈室，屋～屋。草～子。高楼～。厂～。书～。⒉像房间的莲子～。蜜蜂～。左心～。右心～。⒊家族的一支长～。远～。⒋星宿名。二十八宿之一。房páng 1.见'阿房宫'。 2.见'房皇'。
诚,诚 (形声。从言，成声。本义诚实，真诚)同本义诚，信也。--《说文》币必诚。--《礼记·郊特牲》诚者自成也。--《礼记·中庸》帝感其诚，命夸娥氏二子负二山，一厝朔东，一厝雍南。--《列子·汤问》行之发于至诚。--《汉书·赵广汉传》乃能衔哀致诚。--韩愈《祭十二郎文》又如诚款(真诚恳切);诚敬(真诚，敬重);诚虔(虔诚，恭敬而有诚意)真实 善人为邦百年，亦可以胜残去杀矣。诚哉是言也!--《论语·子路》此谓诚于中，形于外。--《礼记·大学》巧诈不如拙诚。--《韩非子·说林上诚 chéng①真实的（心意）～心～意。②实在；的确；～然。【诚笃】诚实真挚。【诚惶诚恐】原为封建时代臣下给皇帝奏章中的套语，表示敬畏之意。形容十分谨慎恐慌不安的样子。有时含讽刺意味。【诚然】①实在；的确这本书～可以一读。②固然（引起下文转折）你说的～有理，但他说的也不为错。【诚心诚意】实心实意。形容十分诚挚。【诚挚】诚恳真挚。诚chéng⒈真心，不虚伪～实。～挚。～信。真～。～心～意。⒉确实，的确～然。～说此言。
衬,衬 (形声。从衣，觝声。本义外衣内的单衫)同本义。又称衬衫 附在衣服鞋帽里的布 垫，衬垫 衬 施舍，布施 衬托 相帮 衬 chèn①在里面托一层～一点纸。②衬在里面的～衣、西服、布。③附在衣裳、鞋、帽等某一部分的布制品帽～。④映衬；衬托绿叶、红花。【衬托】利用事物间的近似或对立的条件、用一些事物为陪衬来突出所要表现的事物的写作手法。它可以使被陪衬事物显得更加突出、形象，富有艺术魅力，是情节构造、意境创造、人物描写等的有效手法。衬托有正衬、反衬两类利用事物的相似条件来衬托的是正衬；利用事物的相反条件来衬托的是反衬。【衬字】歌词里为使韵律优美或表达意境的需要而增加的没有实义的字。如'风吹那个雪花满天飘'中的'那个'。衬（襯）chèn⒈里面的，托在里面的～衣。～上一层棉絮。⒉配搭，从旁帮助～托。帮～。相互映～。
衫,衫〈名〉古代指无袖头的开衩上衣 朝成绣夹裙，晚成单罗衫。--《玉台新咏·古诗为焦仲卿妻作》又如衫子(指古代妇女穿的一种袖子宽大的上衣;上衣的通称);衫帽(凉衫便帽。是宋代士大夫闲居时的装束);衫裙(短衫和裙子，泛指衣服);衫褃(衣服的腰身);衫煖(即衫子);衫傒(衣袖)衣服的通称 衫shān单衣，上衣衬～。罩～。也泛指衣服衣～。
视,视 (会意兼形声。从见示，示亦声。见，看见。示，表现。本义看)同本义 视，瞻也。--《说文》天视自我民视，天听自我民听。--《书·泰誓中》目不能徧视，手不能徧操。--《墨子·辞过》子兴视夜。--《诗·郑风·子曰鸡鸣》视而不见，听而不闻。--《礼记·大学》熟视之。--《战国策·齐策》然往来视之，觉无异能者。--柳宗元《三戒》撤屏视之，一人、一桌、一椅、一扇、一抚尺而已。--《虞初新志·秋声诗自序》穆公使视客馆，则束载、厉兵、秣马矣。--《左传·僖公三十三年》又如视探(看望，探望);视（眎）shì⒈看～力。～若无睹。⒉看待，看作轻～。～如寇仇。～少如长。⒊观察，察看～察。巡～。⒋活，生存长生久～。⒌⒍⒎①眼睛与所看目标之间的假想直线。②眼睛所能看到的。〈喻〉注意的方向或目标她的话是在转移大家的～线。
祈,祈〈动〉(形声。从示，斤声。本义向上天或神明求福)同本义 祈，求福也。--《说文》掌六祈。--《周礼·大祝》祭有祈焉。--《礼记·郊特牲》又如祈场(向神祈祷的场所);祈祝(祈求祝福);祈死(祈求速死);祈克(祈求克敌);祈祉(祈求幸福);祈祓(祈神除灾去秽);祈战(祈求战胜)请求;希望 不祈土地。--《礼记·儒行》以祈尔爵。--《诗·小雅·宾之初筵》又如祈喜(求福);祈借(求借)祈 〈形〉通祁。大 祈 〈名〉假借为 畿。古称天子直辖之地 《祈qí⒈迷信的人向所谓'神'祷告恳求～祷哄骗人。⒉求，乞求～求。敬～。
话,话 (形声。从言，舌声。本义言语)同本义 话，合会善言也。--《说文》著之话言。--《左传·文公六年》不知话言。--《左传·文公十八年》告之话言。--《左传·襄公元年》出话不然。--《诗·大雅·板》悦亲戚之情话。--晋·陶渊明《归去来兮辞》心诚之话。--唐·李朝威《柳毅传》又如话言(话语);话差(言语纠葛;争吵);话白儿(闲话);话布口袋(比喻一肚子的话)话题 话本;故事 授意表达的言词 话huà⒈语言讲～。普通～。⒉说，谈～别离。茶～会。～不投机。⒊⒋⒌
诞,诞 (形声。从言，延声。本义说大话)同本义 诞，词诞也。--《说文》诞惟民怨。--《书·酒诰》肆朕诞以尔东征。--《书·大诰》言神事如迂诞。--《汉书·郊祀志上》。师古曰诞，大言也。则诞欺怪迂之文弥以益多。--《汉书·艺文志》又如诞诈(诞妄奸诈);诞辞(虚诞的言辞);诞言(夸大的话)虚妄;荒唐 是言诞也。--《国语·楚语》。注虚也。非诞说矣。--又如诞妄(虚妄不实);诞谩(荒诞不实)大 诞告万方。--《书·汤诰》传诞 dàn①出生～生。②生日～辰、华～。③荒唐的；不合情理的荒～、怪～。【诞辰】生日（多用于庄重场合或所尊敬的人）。
诡,诡 (形声。从言，危声。本义责成，要求)同本义 诡，责也。--《说文》自诡灭贼。--《汉书·赵充国传》今臣得出守郡，自诡效功，恐未效而死。--《汉书·京房传》又如诡求(要求，责求);诡驳(责难驳斥);诡责(责备;责问);诡令(责令)违反，自相矛盾 诡，违也。--《西京赋》注引《说文》容服有仪谓之仪，反仪为诡。--《贾子道术》诡自然之性。--《淮南子·主术》古今诡趣。--《淮南子·辩亡论》言行相诡，不祥莫大焉。--《吕氏春秋诡guǐ⒈欺诈，奸滑～计。～辩。⒉奇异，怪异，出乎平常～谲。～殊。～秘。～异。⒊违反，违背～于常理。言行相～。
询,询 (形声。从言，旬声。本义询问，请教)同本义 今因经无以询为问罪字，遂用讯不用询，其实讯询一字也。--朱骏声《说文通训定声》询事考言。--《虞书》周爰咨询。--《诗·小雅·皇皇者华》询尔仇方。--《诗·大雅·皇矣》咨亲为询。--《左传·襄公四年》询于八虞。--《国语·晋语》秦大夫不询于我寡君。--《左传·成公十三年》咨才为诹，咨事为谋，咨义为度，咨亲为询。--《国语》民俗，事疑必询三老。--马中锡《中山狼传》苟无至诚恻怛忧天下之心，则不能询考贤才，讲求法度。--宋·询xún问，请教，征求意见～问。探～。查～。
该,该 (形声。从言，亥声。本义军中互相戒守的约言。《说文》该，军中约也。引申为完备。引申义完备，包括一切。通赅)同引申义 此该之变而道之也。--《谷梁传·哀公元年》。注备也。招具该备。--《楚辞·招魂》又撰《西京记》三卷，引据该洽，世称其博闻焉。--《周书·卢寊传》又如该洽(完备周详);该备(完备，详备);该尽(完备无遗);该详(完备详尽)广博 该 包容;包括 该gāi⒈应当应～。自己～做的事，一定要抓紧做好。⒉〈表〉从推测到必然的或可能的结果她～到家了。⒊欠～她的钱。⒋那，那个，特指前面说过的人或事物～人。～处。～事。⒌〈古〉同'赅'。
详,详 (形声。从言，羊声。本义审察，审理)同本义 详，审议也。--《说文》度作详刑，以诘四方。--《书·吕刑》。郑注审察之也。凤姐详情度理，说他们必不敢多说一句话。--《红楼梦》愿明上详之。--《三国演义》又如详允(审判得当、公平);详当(详审而允当);详阅(审查批阅)详细说明 又如详梦(解梦;析梦);内详;另详清楚地知道 非君所详。--《玉台新咏·古诗为焦仲卿妻作》亦不详其姓字。--陶潜《五柳先生传》又如详典(了详xiáng⒈细密，完备～细。～尽。～情。～实。～议法令。⒉清楚，知道内容～知。⒊说明，细说～谈。内～。～告之。⒋广泛，周遍～找。⒌审慎～刑慎罚（审慎使用刑罚）。⒍〈古〉通'佯'。假装。详yáng 1.诈，假装。
建,建 (会意。从廴，有引长的意思，从聿(意为律)。本义立朝律)同本义 立朝律也。--《说文》建，立也。--《广雅》又如建法(制定法律);建中(定立标准);建极(制定至中至正的建国大法)引申为建立、创设 官惟王建国。--《周礼·天官序》掌建邦之宫刑。--《周礼·小宰》州建百里之国三十。--《礼记·王制》皇建其有极。--《书·洪范》择建立卜筮人。夫位政之建也。--《国语·鲁语》足下自以为善汉王，欲建万世之业，臣窃以为误矣。--《史记·淮阴侯列传》德之不建jiàn⒈设立，创立～立。～都。～军。创～。⒉修，修造～筑。～造。新～。改～。⒊树立，完成～树。～成。⒋提出～议。⒌
肃,肃 (会意。小篆字形。表示人战战兢兢，非常畏惧小心。本义{恭敬})同本义 肃，持事振敬也。--《训文》忠肃共懿。--《左传·文公十八年》肃肃在庙。--《诗·大雅·思齐》又能齐肃衷正。--《国语·楚语》宽肃宣惠。--《国语·周语》貌之不恭，是谓不肃。--《汉书·五行志》入掖庭为人，时年十六。恭肃小心，动有法度。--《后汉书·邓皇后传》又如肃敬(恭恭敬敬);肃迓(恭迎);肃奉(恭敬地接受或遵奉);肃括(恭敬而有法度。指人的威仪。亦有于治学和书法、文辞等);肃修(恭敬地修书。致亲友书札用语);肃肃（胏）sù⒈恭敬～立。～然起敬。⒉严正，庄重～静。严～。⒊肃xiāo 1.姓氏。
录,录 (形声。从金，录声。本义绿色金属)同本义 録，金色也。--《说文》记载言行事物的册籍 录，记之具也。--《广雅·释诂三》皆辨其物而奠其录。--《周礼·职币》又如言行录;名人录次第，次序 今大国越录。--《国语·吴语》录 总领 融为太尉，并录尚书事。--《后汉书·章帝纪》又如录公(对总领台阁尚书事者的敬称)抄写(含有有选择地照样誊写的意味) 手自笔录。--明·宋濂《送东阳马生序》又余之手录。又如抄录(抄写);录黄(宋代中书省枢密院录（録）lù⒈记载，登记～音。～功。⒉抄写抄～。摘～。⒊记载言行或事物的书刊、文本语～。回忆～。备忘～。⒋任用，采取～用。～取。收～。⒌审查并记载犯人的罪状～供。
隶,隶 (隶又樆尾会意。本义逮、捕、追及)同本义 隶，及也，从又从尾省，又持尾者从后及之也。--《说文》跟从;附属 隶而从者。--唐·柳宗元《至小丘西小石潭记》不隶于宫观之籍。--明·顾炎武《复庵记》又如隶事(以故事相互隶属)通离。流离 饿馑流隶，饥寒道路。--《汉书·叙传·王命论》通肄检查 关东吏隶郡国出入关者。--《史记·酷吏列传》练习 廼令群臣习隶。--《史记·刘敬叔孙通列传》隶（隸、隷）lì⒈附属，属于～属。直～中央。⒉封建时代的衙役、差役～卒。皂～。⒊旧时地位低、被奴役的人奴～。仆～。⒋一种汉字字体，相传是秦朝程邈所创造～书。隶dài 1.及;捕获◇作'逮'。
帚,帚 (象形。甲骨文字形，象扫帚形。本义扫帚) 同本义 又如笤帚(扫帚);帚卜(吴中旧俗，妇女于正月灯节用裙束破帚以占事)帚（箒）zhǒu扫除尘土、垃圾等的用具扫～。
屉,屉〈名〉鞍屉，马鞍垫子 屉，鞍屉也。--《字汇》抽屉 暂设装奁，还抽镜屉。--北周·庾信《镜赋》笼屉 如刚出屉的包子好吃窗棂;窗格子 那窗上的纸，隔着屉子，渐渐的透进清光来。--《红楼梦》屟屉（屜）tì本指鞋垫◇指器物的隔层或可随意取出的盛放东西的部分抽～。蒸 笼～。
居,居 (象形。金文字形，是踞的本字，象人曲胫蹲踞形。本义蹲着)同本义◇作踞 居，蹲也。从尸，古者居从古，俗居从足。--《说文》不宜居见长者。--《史记》昔阖庐食不二味，居不重席，室不崇坛。--《左传》居住 则居可知矣。--《易·系辞下》仁者居之。--《吕氏春秋·离俗》卒不居赵地。--《吕氏春秋·达郁》寝居直梦。--《淮南子·地形》居者，居其所也。--《谷梁传·僖公二十四年》天王出居于郑。--《左传·僖公二十四年》面山而居。--《列子·汤问》楚人居jū⒈住～住。～民。面山而～。⒉住处迁～。故～。家～何处？⒊坐～中。〈引〉处于，位于～安思危。⒋当，任～职。不以功臣自～。⒌积蓄，储存～物积富。奇货可～。⒍占，占据～高临下。二者必～其一。⒎停留，固定岁月不～。⒏⒐居jī 1.语助词。居jù 1.通'倨'。傲慢。 2.通'锯'。参见'居牙'﹑'居属'。
届,届 (形声。从尸，剆声。本义人行路不便) 同本义 届，行不便也。--《说文》届 极限;穷极 至天之届，于河之沂。--晋·陆云诗靡有夷届。--《诗·大雅·瞻卬》君子如届，俾民心阕。--《诗·小雅·节南山》届 到达无远弗届。--《书·大禹谟》又如届候(届时);届止(停留，止息);届路(登程，上路)届满，结束(如一段时间) 距悔罪乞降之始末届十年。--林则徐文届 说明周期性事件的次或期 届（屆）jiè⒈至，到达～时。～期。致～官渡（到达官渡）。⒉次，期上～。第八～。应～（本期）毕业生。
刷,刷 (形声。本义清扫;揩拭;冲洗)同本义 刷，刮也。礼有刷巾。--《说文》刷羽汎清源。--《文选·沈约和谢宣城诗》旦刷幽燕，昼秼荆越。--颜延之《赫白马赋》秋刷。--《周礼·凌人》洗兵海岛，刷马江州。--晋·左思《魏都赋》又如刷刮(擦拭);刷涤(洗刷;洗除);刷刨(刮擦;刷拭);刷剃(擦眼泪)清除;洗雪 王虽东取地于越，不足以刷耻。--《史记·楚世家》欲刷耻改行。--《汉书·武帝纪》刷会稽之耻。--班固《汉书》又如刷淤(清除淤泥);刷剔(删汰)刷抹;涂刷shuā⒈清除或涂抹东西的用具，用成束的毛、棕或尼龙等制成牙～。棕毛～。鞋～子。⒉用刷子等清洗或涂抹～牙。～洗。～碗。～墙壁。⒊淘汰他在第二轮比赛中被～掉了。⒋像声词。同'唰' ～ ～ ～下雨了。⒌刷shuà
屈,屈〈动〉(形声。从尸，出声。尸，古文字中是假卧着的人形。本义弯曲)同本义 屈，拗曲。--《广韵》凡曲而不伸者皆曰屈。--《正字通》尺蠖之屈，以求信也。--《易·系辞》猬缩蠖屈。--马中锡《中山狼传》不可屈伸。--明·宋濂《送东阳马生序》安能屈豪杰。--明·张溥《五人墓碑记》屈膝叩首。--清·方苞《狱中杂记》不当屈。--清·张廷玉《明史》又如屈指询算(迷信指用手指占算);屈律(弯曲的样子);屈卮(有弯曲把手的酒杯);屈申(屈伸。屈曲和伸展);诎屈(曲折;弯曲);屈伸(屈曲);屈屈(弯弯曲曲);屈蠖(曲身屈qū⒈弯曲，跟伸相对～膝。～指可数。⒉低头，妥协，服输，顺从～服。～从。不～不挠。⒊冤枉，使人不痛快冤～。委～。受～。⒋理亏理～词穷。⒌屈jué 1.短。 2.竭尽，穷尽。 3.见'屈奇。' 4.通'倔'。参见'屈强'。 5.通'崛'。参见'屈起'。
弧,弧〈名〉(形声。从弓，瓜声。本义木弓)同本义;泛指弓 弧，木弓也。--《说文》弦木为弧。--《易·系传》檿弧箕服。--《国语·郑语》弧弓夭猎。--《汉书·韩安国传》又如弧弓(古代六弓之一。其力强，可以远射甲革坚硬之物。六弓王弓、弧弓、夹弓、庚弓、唐弓、大弓);孤矢(弓箭);孤室(弓袋);弧弦(开弓张弦)张旗用的竹弓 载弧屬。--《礼记·明堂位》又如弧旌枉矢(谓以竹弓张悬旌旗的正幅，并在弓衣上绘流矢，作弧矢星状，以象征武事)弯曲如弓 采其有弧矢之威。--《礼记·大射仪》注燕弧弧hú⒈木弓。⒉圆周的一段画个～形。一条～线。加括～。
弥,弥 (形声。从弓，尔声。本义放松弓弦)同本义 彌，驰弓也。--《说文》弥，《说文》弛弓也。--《集韵》充满;填满 弥缝其阙，而匡救其灾。--《左传》又如弥封;弥补;弥缝通弭。停止 不弥人争。--《管子·四称》以弥乱发姦，登大司马，职在内辅。--《汉书·王莽传》弥 遍;满 弥山跨谷。--《汉书·司马相如传》。注满也。弥祀社稷祷祠。--《周礼·大祝》。注犹徧也。马畜弥山。--《汉书·李广苏建传》又如弥天亘地(满天弥（彌）mí⒈满，遍～月（婴儿满月）。～天大谎。⒉补，合～补。～合。⒊更加～坚。欲盖～彰。⒋长，久旷日～久。⒌ ⒍⒎弥mǐ 1.通'弭'。止息。 2.通'弭'。末端。参见'弥龙'。 3.通'靡'。奢侈。参见'弥侈'。弥nǐ 1.水深满貌。 2.深水。 3.充满，遍布。 4.见'弥迤'。
弦,弦 (会意。左为弓，右为丝。弓弦是用丝做成的。本义弓弦)同本义 弦，弓弦也。从弓，象丝轸之形。--《说文》无待韦弦。--《文选·王文宪集序》故佩弦以自急。--《韩非子·观行》引弦而战。--《淮南子·人间训》抚弦登陴。--南朝梁·丘迟《与陈伯之书》又如弦箭(弦上之箭);弦栝(弓弦和箭末扣弦处)弓弩 乐器上的肠线或金属丝 弦而鼓之。--明·刘基《郁离子·千里马篇》朝歌夜弦。--唐·杜牧《阿房宫赋弦（絣）xián⒈弯弓上发箭的绳，一般用牛筋制成弓～。箭在～。⒉半圆的月亮上～（初八、初九的月亮）。下～（农历廿二、廿三日的月亮）。⒊数学名词①直线与圆相交，夹在圆周以内的部分。②直角三角形中对着直角的边。⒋乐器上用于发音的丝线、铜线、钢线等。⒌⒍钟表等的发条换个表～。
承,承 (会意。甲骨文字形，上面象跽跪着的人，下面象两只手∠起来表示人被双手捧着或接着。本义捧着)承，奉也。受也。--《说文》女承筐无实。--《易·归妹》。虞注自下受上称承。承筐是将。--《诗·小雅·鹿鸣》下有红光动摇承之，或曰，此东海也。--清·姚鼐《登泰山记》外有八龙，首衔铜丸，下有蟾蜍，张口承之。--《后汉书·张衡传》又如承印(捧印);承萼(指物件承托的联结部分);承盘(托盘)继承 朱明未承夜兮。--《楚辞·招魂》。注续也。承承 chéng①托着；接着～之以首（用头托着）。②承担；接受～印、～办。③客套话。受到～老兄款待，不胜感激。④继续；接续一脉相～。⑤姓。【承包】法人、集体或个人接受工程或大宗定货等，负责完成。【承德避暑山庄】清代帝王夏日避暑和处理政务之所。位于河北承德市北部，始建于清康熙四十二年（1703），乾隆五十五年（1790）竣工，是中国现存占地最大的皇家园林。又称热河行宫。【承接复句】分句间具有先后相继关系的复句。其中的各个分句按顺序说出连续的动作或相关的事情。常用'就、便、才、于是、后来'、'首先…然后'、'起先…后来'等关联词。又称连贯复句。【承接句群】一句接一句，往往按时间推移、位置变换的顺序依次排列的几个句子。常用'于是、就、接着'或'起初…后来'等关联词语联结。【承蒙】客套话。得到；受到～热情款待，不胜感激。【承前启后】见【承先启后】。【承上启下】【承上起下】接续上面的并引起下面的（多用指文章结构等）。【承先启后】继承过去的，开创未来的（多用于事业、学问等）。又作承前启后。【承压水】埋藏在上下两个隔水层之间，承受一定压力的地下水。与一定的地质构造有关，埋藏较深。当上面隔水层钻穿后，可涌出地表。又称自流水。承chéng⒈托着，捧着～尘（天花板）。～饮而进献。⒉担当，接受，蒙受～担。～包。～当。～受。～蒙。～情。～教。⒊继续，接续继～。～接。～前启后。⒋〈古〉通'乘'。趁着。⒌①〈表〉同意，认可～认过错。②国际上指对新国家、新政权的法律地位予以肯定。承zhěng 1.援救。承zèng 1.馈赠。承zhēng 1.古代地名用字。承zhèng 1.古地名用字。
孟,孟 (形声。从子，皿声。本义妾媵生的长子称孟，正妻生的长子称伯，后来统称长子)同本义孟，长也。--《说文》孟侯。--《书·康诰》天子太子年十八曰孟侯。--《书·大传》彼美孟姜。--《诗·郑风·有女同车》。传齐之长女。孟，姊也。--《方言十二》惠公元妃孟子。--《左传·隐公元年》胡卫道三子孟曰宽，仲曰定，季曰宕。--周密《癸辛杂识前集》又如孟兄;孟孙;孟仲叔季(兄弟姊妹的长幼顺序，顺次排行为大、二、三、四)始，四季中每季的第一个月 孟mèng⒈旧时，兄弟姐妹排行用孟（伯）、仲、叔、季为序，孟是老大～兄。～女。⒉四季中每季的第一个月～春。⒊
陋,陋〈形〉(形声。本义狭窄，狭小)同本义 陋，阨陕也。--《说文》百盖无筑，千聚无社，谓之陋。--《管子·侈靡》生于辟陋之国。--《淮南子·修务》渞恒山其若陋兮。--《楚辞·自悲》莒恃其陋，而不修城郭。--《左传》在陋巷，人不堪其忧，回也不改其乐。--《论语》又如陋巷蓬门(穷苦人的住处。狭巷草编门)简陋 何陋之有。--唐·刘禹锡《陋室铭》又如陋宇(简陋的房屋);陋室;朴陋(朴素简陋);粗陋(粗糙简陋);简陋(房屋、设备等简单粗陋;不完备)知识浅薄 陋lòu⒈丑，坏，不合理的形～。～习。～规。⒉狭小～室。～巷。⒊少，浅薄简～。浅～。孤～寡闻。⒋边远地区。
陌,陌 (形声。从阜，百声。阜，土山，与地形有关。本义田间小路)田间东西方向的小路。也泛指田间小路 为田开阡陌封疆，而赋税平。--《史记·商君列传》阡陌交通，鸡犬相闻。--陶渊明《桃花源记》又如南陌(南方的田间小路);陌路(田间的小路);陌头(路旁)泛指道路 素骥鸣广陌，慷慨送我行。--陶潜《咏荆轲》越陌度阡，枉用相存。--曹操《短歌行》又如陌头杨柳田野 蹑足行伍之间，而倔起阡陌之中。--贾谊《过秦论》街道 寻常巷陌，人道寄奴曾住陌mò⒈田间的小路，南北为'阡'，东西为'陌'。〈引〉路广～。⒉
孤,孤〈名〉(形声。从子，瓜声。本义幼年丧父，即孤儿)同本义 孤，无父也。--《说文》如孤子。--《礼记·深衣》。注三十以下无父称孤。司民协孤终。--《国语·周语》少伶俜而偏孤兮。--潘岳《寡妇赋》老而无子曰独，幼儿无父曰孤。--《孟子·梁惠王下》救灾患，宥孤寡。--《左传·昭公十四年》备答曰刘荆州临亡，讬我以遗孤，背信自济，吾所不为，死何面目见刘荆州乎?--孔衍《汉魏春秋》又如孤驹(无母的小马);孤遗(无父母的子女);孤雏(失去母鸟的幼鸟)。又如孤疾(孤儿和残疾人);六尺之孤(没有父亲的未孤gū⒈幼年丧父或父母双亡～儿寡母。～苦伶仃。⒉单独～独。～单。～掌难鸣。～军奋战。⒊〈古〉君王的自称～王。⒋通'gud辜⒉'～负。
